year,month,metro,city,houseCnt,powerUsage,bill
2023,08,서울특별시,강남구,267859,402.26,70995
2023,08,서울특별시,송파구,288110,389.63,62022
2023,08,부산광역시,강서구,70994,383.26,59523
2023,08,부산광역시,금정구,126544,292.21,42026
2023,08,경기도,양평군,77401,260.27,43969
2023,08,경기도,가평군,42300,236.59,37342
2023,09,서울특별시,강남구,267906,327.12,54081
2023,09,서울특별시,송파구,288229,337.59,52159
2023,09,부산광역시,강서구,71021,377.52,60905
2023,09,부산광역시,금정구,126507,271.43,39277
2023,09,경기도,양평군,77982,236.25,39714
2023,09,경기도,가평군,42354,208.0,32387
2023,10,서울특별시,강남구,272620,239.69,35678
2023,10,서울특별시,송파구,288370,248.02,3525
2023,10,부산광역시,강서구,70985,269.29,40123
2023,10,부산광역시,금정구,126584,202.87,27932
2023,10,경기도,양평군,78131,184.07,30508
2023,10,경기도,가평군,42433,171.64,26460
2023,11,서울특별시,강남구,276064,230.76,33987
2023,11,서울특별시,송파구,289528,241.91,33815
2023,11,부산광역시,강서구,71038,243.55,34653
2023,11,부산광역시,금정구,126660,193.62,26138
2023,11,경기도,양평군,78340,188.62,31273
2023,11,경기도,가평군,42483,178.3,27825
2023,12,서울특별시,강남구,276021,247.38,3782
2023,12,서울특별시,송파구,289568,255.26,3687
2023,12,부산광역시,강서구,71048,252.76,36194
2023,12,부산광역시,금정구,126616,205.85,28549
2023,12,경기도,양평군,78668,209.86,35621
2023,12,경기도,가평군,42537,194.65,31186
