year,month,metro,city,houseCnt,powerUsage,bill
2020,01,서울특별시,강남구,258555,254.67,31054
2020,01,서울특별시,송파구,280650,263.45,30647
2020,01,부산광역시,강서구,65724,243.77,27701
2020,01,부산광역시,금정구,129181,228.05,25568
2020,01,경기도,양평군,65695,225.52,29789
2020,01,경기도,가평군,36882,209.71,26808
2020,02,서울특별시,강남구,258590,250.36,30055
2020,02,서울특별시,송파구,281313,263.43,30677
2020,02,부산광역시,강서구,65810,245.74,27963
2020,02,부산광역시,금정구,129278,229.57,25996
2020,02,경기도,양평군,65771,223.33,29427
2020,02,경기도,가평군,36950,204.98,26110
2020,03,서울특별시,강남구,258728,244.8,29092
2020,03,서울특별시,송파구,281411,248.39,27687
2020,03,부산광역시,강서구,65807,231.28,25274
2020,03,부산광역시,금정구,129289,213.47,22945
2020,03,경기도,양평군,65860,205.24,25848
2020,03,경기도,가평군,37013,188.85,22652
2020,04,서울특별시,강남구,258806,242.19,28541
2020,04,서울특별시,송파구,281743,252.45,28609
2020,04,부산광역시,강서구,66113,238.61,26855
2020,04,부산광역시,금정구,129243,219.14,23921
2020,04,경기도,양평군,66005,204.52,27184
2020,04,경기도,가평군,37100,188.05,23756
2020,05,서울특별시,강남구,258975,232.77,26847
2020,05,서울특별시,송파구,281415,236.68,25443
2020,05,부산광역시,강서구,66072,223.64,23954
2020,05,부산광역시,금정구,129177,201.39,20638
2020,05,경기도,양평군,66201,191.92,24014
2020,05,경기도,가평군,37135,177.49,21164
2020,06,서울특별시,강남구,259230,258.87,32239
2020,06,서울특별시,송파구,281284,253.21,28611
2020,06,부산광역시,강서구,66068,231.34,25070
2020,06,부산광역시,금정구,129409,202.59,20744
2020,06,경기도,양평군,66370,191.08,23905
2020,06,경기도,가평군,37237,177.92,21139
2020,07,서울특별시,강남구,259176,281.57,33663
2020,07,서울특별시,송파구,281900,270.09,29769
2020,07,부산광역시,강서구,66083,240.83,24633
2020,07,부산광역시,금정구,129472,205.4,19653
