지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),지면온도(°C)
168,여수,2020-01-01 1:00,-3.1,,7.3,320,41,1023.1,,,,1,-4
168,여수,2020-01-01 2:00,-3.4,,5.6,320,41,1023,,,,0,-4.5
168,여수,2020-01-01 3:00,-3.8,,5.1,320,42,1023.4,,,,0,-4.8
168,여수,2020-01-01 4:00,-3.9,,2.3,360,40,1023.5,,,,4,-5.3
168,여수,2020-01-01 5:00,-3.8,,2,360,41,1023.1,,,,6,-5.1
168,여수,2020-01-01 6:00,-3.8,,0.6,50,47,1023.2,,,,7,-5.4
168,여수,2020-01-01 7:00,-3.4,,1.1,50,50,1023.6,,,,7,-5.1
168,여수,2020-01-01 8:00,-3.7,,0.8,250,55,1023.6,0,0,,2,-4.7
168,여수,2020-01-01 9:00,-1.5,,0.9,200,54,1023.7,0.7,0.25,,0,3.3
168,여수,2020-01-01 10:00,1.5,,1.4,290,54,1024,1,0.91,,0,8.1
168,여수,2020-01-01 11:00,2.5,,1.7,50,59,1023.9,1,1.45,,0,12.6
168,여수,2020-01-01 12:00,4.5,,2.9,320,52,1023,1,1.79,,0,16.3
168,여수,2020-01-01 13:00,5.1,,6.5,320,46,1021.9,1,1.94,,0,15.4
168,여수,2020-01-01 14:00,6.1,,4.6,290,46,1021.3,1,1.82,,0,17
168,여수,2020-01-01 15:00,6.4,,5.1,290,45,1021,1,1.46,,0,14.3
168,여수,2020-01-01 16:00,5.8,,6.1,320,47,1021.8,1,0.93,,0,9.4
168,여수,2020-01-01 17:00,4.9,,6.6,290,49,1022.2,1,0.31,,0,3.8
168,여수,2020-01-01 18:00,3.9,,6.3,290,52,1022.2,0.3,0.01,,0,1.9
168,여수,2020-01-01 19:00,3.3,,2.9,270,51,1022.3,,,,0,0.7
168,여수,2020-01-01 20:00,2.7,,6.1,320,55,1021.8,,,,0,0.8
168,여수,2020-01-01 21:00,2.3,,7.4,320,58,1021.8,,,,0,0.5
168,여수,2020-01-01 22:00,2,,6.6,320,59,1022.3,,,,0,0.1
168,여수,2020-01-01 23:00,1.8,,6.1,320,60,1022.4,,,,0,-0.1
168,여수,2020-01-02 0:00,1.6,,5.7,320,59,1022.2,,,,0,-0.3
168,여수,2020-01-02 1:00,1.6,,6,320,60,1021.4,,,,0,-0.2
168,여수,2020-01-02 2:00,1.1,,0.5,70,62,1021,,,,0,-0.9
168,여수,2020-01-02 3:00,1.1,,1,360,64,1020.8,,,,0,-1
168,여수,2020-01-02 4:00,1.4,,1.9,20,64,1020.4,,,,0,-1
