지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),지면온도(°C)
168,여수,2024-09-27 01:00,23.9,,2,20,80,1004.7,,,,2,21.6
168,여수,2024-09-27 02:00,23.5,,.5,320,82,1004.6,,,,7,21.3
168,여수,2024-09-27 03:00,23.2,,.7,70,83,1004.4,,,,0,21.1
168,여수,2024-09-27 04:00,23.2,,.4,0,85,1004.2,,,,8,21.3
168,여수,2024-09-27 05:00,22.9,,1.1,70,86,1004.4,,,,8,21.2
168,여수,2024-09-27 06:00,22.7,,1.5,90,86,1004.9,,,,7,20.9
168,여수,2024-09-27 07:00,22.6,,2.9,70,87,1005.5,0,.04,,7,21.2
168,여수,2024-09-27 08:00,23.3,,3,90,81,1005.7,.5,.41,,5,23.1
168,여수,2024-09-27 09:00,24.4,,4.4,90,75,1005.8,1,1.36,,5,28.2
168,여수,2024-09-27 10:00,24.8,,5.1,90,75,1005.7,.9,2.03,,8,29.8
168,여수,2024-09-27 11:00,25.4,,3.8,90,74,1005.7,.4,1.55,,6,32
168,여수,2024-09-27 12:00,26.6,,3.2,90,68,1005.2,1,2.84,,3,37.7
168,여수,2024-09-27 13:00,27.8,,2,90,61,1004.5,1,2.95,,1,40.5
168,여수,2024-09-27 14:00,28.9,,1.7,180,59,1004.1,1,2.78,,3,40.5
168,여수,2024-09-27 15:00,29.2,,2,160,60,1003.8,1,2.31,,6,38.2
168,여수,2024-09-27 16:00,28.5,,2.9,230,62,1004.2,.9,1.53,,5,34.9
168,여수,2024-09-27 17:00,27.4,,2.4,140,62,1004.6,.6,.85,,7,30.9
168,여수,2024-09-27 18:00,26,,2.4,160,73,1005.1,.1,.26,,8,27.4
168,여수,2024-09-27 19:00,25.4,,2.5,140,75,1005.3,0,.02,,7,25.4
168,여수,2024-09-27 20:00,25.3,,2.5,140,78,1005.8,,,,4,24.8
168,여수,2024-09-27 21:00,25.1,,2.6,110,78,1006.1,,,,2,23.8
168,여수,2024-09-27 22:00,24.8,,2,90,80,1006.3,,,,3,23.1
168,여수,2024-09-27 23:00,24.8,,1.6,70,76,1006.6,,,,3,23.2
168,여수,2024-09-28 00:00,24.5,,2.5,90,77,1006.7,,,,1,22.5
