瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),瘤搁柯档(∑C)
184,力林,2021-01-03 22:00,5.1,,1.7,70,54,1030.6,,,,9,2.7
184,力林,2021-01-03 23:00,5,,1.7,90,53,1030.4,,,,10,2.7
184,力林,2021-01-04 0:00,5.3,,2.2,50,48,1030,,,,9,2.5
184,力林,2021-01-04 1:00,4.8,,1,140,52,1030.3,,,,8,2.1
184,力林,2021-01-04 2:00,4.3,,1.3,110,54,1030.2,,,,7,1.3
184,力林,2021-01-04 3:00,3.5,,2.6,160,58,1030.7,,,,7,1
184,力林,2021-01-04 4:00,2.9,,1.2,180,61,1030.7,,,,3,0.7
184,力林,2021-01-04 5:00,2.6,,1.3,180,64,1029.7,,,,2,0.7
184,力林,2021-01-04 6:00,2.5,,1.4,160,65,1029.5,,,,2,0.1
184,力林,2021-01-04 7:00,2.4,,1.4,160,68,1029.3,,,,2,0.2
184,力林,2021-01-04 8:00,2.4,,2.1,160,70,1028.8,0,0.01,,0,0.3
184,力林,2021-01-04 9:00,4,,2.3,160,64,1028.6,0.2,0.24,,0,0.7
184,力林,2021-01-04 10:00,7.6,,1.5,140,54,1028.3,1,0.91,,0,3.4
184,力林,2021-01-04 11:00,8.8,,1.2,70,51,1030.2,1,1.46,,1,7.6
184,力林,2021-01-04 12:00,7.9,,2.6,50,52,1028.9,0.2,1.07,,6,10
184,力林,2021-01-04 13:00,8.2,,3.1,50,49,1027.9,0.8,1.68,,4,15
184,力林,2021-01-04 14:00,8,,1.6,50,51,1027.1,0.5,1.29,,8,12.3
184,力林,2021-01-04 15:00,7.9,,2.1,50,52,1026.4,0,0.75,,7,10.8
184,力林,2021-01-04 16:00,8.3,,2,90,51,1025.5,0.4,0.64,,5,8.2
184,力林,2021-01-04 17:00,7.8,,1.6,160,53,1026,0.3,0.33,,7,6.5
184,力林,2021-01-04 18:00,7.8,,1.7,160,54,1026.2,0,0,,8,5.9
184,力林,2021-01-04 19:00,7.8,,1.6,160,52,1026.5,,,,10,5.6
184,力林,2021-01-04 20:00,7.5,,1.2,180,53,1027,,,,9,4.7
184,力林,2021-01-04 21:00,7,,1.4,180,55,1026.9,,,,9,4.4
184,力林,2021-01-04 22:00,6.8,,1.5,180,58,1026.6,,,,10,4.2
184,力林,2021-01-04 23:00,6.6,,1.3,160,58,1026.1,,,,10,4.1
184,力林,2021-01-05 0:00,6.5,,1,200,62,1026.1,,,,9,3.9
184,力林,2021-01-05 1:00,6.5,,2.7,180,64,1026.1,,,,10,3.9
184,力林,2021-01-05 2:00,6.7,,2.2,180,63,1025.9,,,,10,3.8
184,力林,2021-01-05 3:00,6.8,,1.6,160,58,1025.7,,,,9,3.4
184,力林,2021-01-05 4:00,7.3,,1,250,58,1025.4,,,,6,4.1
184,力林,2021-01-05 5:00,8.9,,2.5,290,58,1024.4,,,,8,4.7
184,力林,2021-01-05 6:00,8.8,0,3.2,320,71,1024.3,,,,10,5.7
184,力林,2021-01-05 7:00,8.7,,4.6,360,67,1024.3,,,,10,5.7
184,力林,2021-01-05 8:00,8,,6,360,73,1025.3,0,0,,10,6.1
184,力林,2021-01-05 9:00,7.8,0,7.2,360,72,1026.9,0,0.01,,10,6
184,力林,2021-01-05 10:00,7.2,,5.6,360,62,1027.4,0,0.08,,10,5.8
184,力林,2021-01-05 11:00,6.8,,4.8,360,66,1027.1,0,0.31,,10,6.5
184,力林,2021-01-05 12:00,6.3,,7.3,360,67,1025.5,0,0.51,,10,7.8
184,力林,2021-01-05 13:00,6.3,,3.7,360,60,1025.2,0,0.55,,10,7.7
184,力林,2021-01-05 14:00,6.1,,4.4,360,59,1024.7,0,0.45,,10,7.6
184,力林,2021-01-05 15:00,5.4,,3.5,360,64,1024.8,0,0.4,,10,7.1
184,力林,2021-01-05 16:00,4.8,,4.9,360,64,1024.7,0,0.28,,10,6.4
184,力林,2021-01-05 17:00,4.2,,3.8,360,66,1026,0,0.17,,10,5
184,力林,2021-01-05 18:00,3.8,,4.5,360,65,1026.3,0,0.01,,8,4
184,力林,2021-01-05 19:00,3.2,,3.9,360,61,1026.6,,,,10,3.3
184,力林,2021-01-05 20:00,2.7,,4.3,360,64,1026.7,,,,10,3
184,力林,2021-01-05 21:00,2.7,,3.1,340,63,1027.3,,,,10,2.8
184,力林,2021-01-05 22:00,2.8,,3.3,320,60,1026.7,,,,10,2.7
184,力林,2021-01-05 23:00,2.9,,3.9,360,63,1026.4,,,,10,2.7
184,力林,2021-01-06 0:00,2.8,,3.9,360,68,1026.5,,,,9,2.7
184,力林,2021-01-06 1:00,2.7,,3.6,340,67,1026.3,,,,9,2.6
184,力林,2021-01-06 2:00,2.8,,4.7,340,68,1026.3,,,,9,2.4
